dataset,story_name,text_file,has_v2,v2_path,has_v3,v3_path,has_narrative
ChineseTales,CH_028_侠女,datasets/ChineseTales/texts/CH_028_侠女.txt,True,datasets/ChineseTales/json_v2/CH_028_侠女_v2.json,True,datasets/ChineseTales/json_v3/CH_028_侠女_v3.json,False
ChineseTales,CH_198_董永与七仙女,datasets/ChineseTales/texts/CH_198_董永与七仙女.txt,True,datasets/ChineseTales/json_v2/CH_198_董永与七仙女_v2.json,True,datasets/ChineseTales/json_v3/CH_198_董永与七仙女_v3.json,False
ChineseTales,CH_301_神犬盘瓠,datasets/ChineseTales/texts/CH_301_神犬盘瓠.txt,True,datasets/ChineseTales/json_v2/CH_301_神犬盘瓠_v2.json,True,datasets/ChineseTales/json_v3/CH_301_神犬盘瓠_v3.json,True
EnglishTales,EN_001_ Cinderella,datasets/EnglishTales/texts/EN_001_ Cinderella.txt,True,datasets/EnglishTales/json_v2/EN_001_ Cinderella_v2.json,False,,False
IndianTales,EN_001_The_Lion_and_the_Crane,datasets/IndianTales/texts/EN_001_The_Lion_and_the_Crane.txt,True,datasets/IndianTales/json_v2/EN_001_The_Lion_and_the_Crane_v2.json,True,datasets/IndianTales/json_v3/EN_001_The_Lion_and_the_Crane_v3.json,True
IndianTales,EN_002_How_the_Raja's_Son_won_the_Princess_Labam,datasets/IndianTales/texts/EN_002_How_the_Raja's_Son_won_the_Princess_Labam.txt,True,datasets/IndianTales/json_v2/EN_002_How_the_Raja's_Son_won_the_Princess_Labam_v2.json,True,datasets/IndianTales/json_v3/EN_002_How_the_Raja's_Son_won_the_Princess_Labam_v3.json,True
IndianTales,EN_003_The Lambikin,datasets/IndianTales/texts/EN_003_The Lambikin.txt,True,datasets/IndianTales/json_v2/EN_003_The Lambikin_v2.json,True,datasets/IndianTales/json_v3/EN_003_The Lambikin_v3.json,True
IndianTales,EN_004_Punchkin,datasets/IndianTales/texts/EN_004_Punchkin.txt,True,datasets/IndianTales/json_v2/EN_004_Punchkin_v2.json,True,datasets/IndianTales/json_v3/EN_004_Punchkin_v3.json,True
IndianTales,EN_005_The_Broken_Pot,datasets/IndianTales/texts/EN_005_The_Broken_Pot.txt,True,datasets/IndianTales/json_v2/EN_005_The_Broken_Pot_v2.json,True,datasets/IndianTales/json_v3/EN_005_The_Broken_Pot_v3.json,True
IndianTales,EN_006_The_Magic_Fiddle,datasets/IndianTales/texts/EN_006_The_Magic_Fiddle.txt,True,datasets/IndianTales/json_v2/EN_006_The_Magic_Fiddle_v2.json,True,datasets/IndianTales/json_v3/EN_006_The_Magic_Fiddle_v3.json,True
IndianTales,EN_007_The_Cruel_Crane_Outwitted,datasets/IndianTales/texts/EN_007_The_Cruel_Crane_Outwitted.txt,True,datasets/IndianTales/json_v2/EN_007_The_Cruel_Crane_Outwitted_v2.json,True,datasets/IndianTales/json_v3/EN_007_The_Cruel_Crane_Outwitted_v3.json,True
IndianTales,EN_008_The_Tiger_the_Brahman_and_the_Jackal,datasets/IndianTales/texts/EN_008_The_Tiger_the_Brahman_and_the_Jackal.txt,True,datasets/IndianTales/json_v2/EN_008_The_Tiger_the_Brahman_and_the_Jackal_v2.json,True,datasets/IndianTales/json_v3/EN_008_The_Tiger_the_Brahman_and_the_Jackal_v3.json,True
IndianTales,EN_009_Harisarman,datasets/IndianTales/texts/EN_009_Harisarman.txt,True,datasets/IndianTales/json_v2/EN_009_Harisarman_v2.json,True,datasets/IndianTales/json_v3/EN_009_Harisarman_v3.json,True
IndianTales,EN_010_The_Talkative_Tortoise,datasets/IndianTales/texts/EN_010_The_Talkative_Tortoise.txt,True,datasets/IndianTales/json_v2/EN_010_The_Talkative_Tortoise_v2.json,True,datasets/IndianTales/json_v3/EN_010_The_Talkative_Tortoise_v3.json,True
IndianTales,EN_011_The_Gold_giving_Serpent,datasets/IndianTales/texts/EN_011_The_Gold_giving_Serpent.txt,True,datasets/IndianTales/json_v2/EN_011_The_Gold_giving_Serpent_v2.json,True,datasets/IndianTales/json_v3/EN_011_The_Gold_giving_Serpent_v3.json,True
IndianTales,EN_012_A_Lesson_for_Kings,datasets/IndianTales/texts/EN_012_A_Lesson_for_Kings.txt,True,datasets/IndianTales/json_v2/EN_012_A_Lesson_for_Kings_v2.json,True,datasets/IndianTales/json_v3/EN_012_A_Lesson_for_Kings_v3.json,True
IndianTales,EN_013_Pride_goeth_before_a_Fall,datasets/IndianTales/texts/EN_013_Pride_goeth_before_a_Fall.txt,True,datasets/IndianTales/json_v2/EN_013_Pride_goeth_before_a_Fall_v2.json,True,datasets/IndianTales/json_v3/EN_013_Pride_goeth_before_a_Fall_v3.json,True
IndianTales,EN_014_The_Ass_in_the_Lion's_Skin,datasets/IndianTales/texts/EN_014_The_Ass_in_the_Lion's_Skin.txt,True,datasets/IndianTales/json_v2/EN_014_The_Ass_in_the_Lion's_Skin_v2.json,True,datasets/IndianTales/json_v3/EN_014_The_Ass_in_the_Lion's_Skin_v3.json,True
IndianTales,EN_015_The_Farmer_and_the_Money_lender,datasets/IndianTales/texts/EN_015_The_Farmer_and_the_Money_lender.txt,True,datasets/IndianTales/json_v2/EN_015_The_Farmer_and_the_Money_lender_v2.json,True,datasets/IndianTales/json_v3/EN_015_The_Farmer_and_the_Money_lender_v3.json,True
